"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1A: O2 flux per mass [pmol/(s*mg)]","1B: O2 concentration [µM]","1B: O2 flux per mass [pmol/(s*mg)]","1A: Amp [µM]","1A: Amp flux per mass [pmol/(s*mg)]","1B: Amp [nM]","1B: Amp flux per mass [fmol/(s*mg)]"
79.50,"MgG, MgCl, MgCl, Saf, Homo-1mg, Homo-1mg","Left, Right, Left, Right, Left, Right","",187.5764,3.2555,186.7879,15.7205,4351.4896,-318.5357,1756.3461,-1031.8934
79.53,"","","",187.6062,3.0746,186.7617,15.4030,4346.9985,-309.9266,1757.2464,-997.2661
79.57,"","","",187.6117,3.0746,186.6696,15.2442,4348.6916,-318.5357,1755.7575,-962.6388
79.60,"","","",187.6062,3.0746,186.6871,15.0854,4353.4410,-301.3176,1753.4374,-941.8624
79.63,"","","",187.5999,3.0746,186.7109,14.9266,4349.4234,-309.9266,1753.6452,-921.0860
79.67,"","","",187.5674,3.2555,186.6482,14.9266,4346.8550,-338.6235,1753.1258,-900.3096
79.70,"","","",187.5809,3.4363,186.6077,15.0854,4349.7821,-338.6235,1750.0440,-886.4587
79.73,"","","",187.5628,3.6172,186.5727,15.2442,4347.8020,-324.2751,1753.0219,-858.7569
79.77,"","","",187.5484,3.6172,186.6648,14.9266,4348.1177,-338.6235,1753.0565,-831.0551
79.80,"","","",187.5429,3.7981,186.7649,14.1326,4347.9312,-347.2326,1753.1258,-796.4278
79.83,"","","",187.5077,3.9789,186.7379,13.3386,4349.3660,-350.1023,1752.0870,-768.7259
79.87,"","","",187.5592,3.9789,186.7156,12.5447,4351.4178,-355.8417,1751.6368,-747.9496
79.90,"","","",187.5628,3.7981,186.6823,12.2271,4350.4278,-350.1023,1750.8404,-720.2477
79.93,"","","",187.5592,3.6172,186.6680,11.9095,4349.4521,-352.9720,1749.6977,-699.4713
79.97,"","","",187.5511,3.4363,186.6553,11.7507,4350.1408,-352.9720,1748.1395,-692.5459
80.00,"","","",187.5710,3.4363,186.6728,11.4331,4343.9136,-361.5811,1749.1783,-671.7695
80.03,"","","",187.5981,3.0746,186.6712,10.9567,4359.2090,-304.1873,1747.4123,-650.9931
80.07,"","","",187.5655,3.0746,186.6339,10.6392,4375.1215,-192.2693,1747.4469,-637.1422
80.10,"","","",187.5312,3.0746,186.6061,10.4804,4380.0717,-74.6120,1746.5812,-616.3658
80.13,"","","",187.5131,3.0746,186.5878,10.4804,4376.6855,22.9575,1748.2087,-602.5149
80.17,"","","",187.5375,3.0746,186.5854,10.3216,4371.6922,91.8301,1746.0965,-588.6640
80.20,"","","",187.5411,2.8938,186.5060,10.3216,4372.1944,163.5724,1744.9884,-574.8131
80.23,"","","",187.5077,2.8938,186.5116,10.4804,4372.0366,243.9237,1745.4732,-560.9622
80.27,"","","",187.4823,3.0746,186.5227,10.4804,4372.7109,321.4054,1742.9800,-554.0367
80.30,"","","",187.4597,3.2555,186.5418,10.1628,4376.2981,410.3658,1741.9412,-560.9622
80.33,"","","",187.4498,3.4363,186.5171,10.0040,4386.5142,519.4141,1741.0409,-560.9622
80.37,"","","",187.5068,3.2555,186.5227,9.6864,4384.4910,611.2442,1739.8635,-574.8131
80.40,"","","",187.5104,3.2555,186.5195,9.3688,4388.0638,714.5531,1741.0409,-574.8131
80.43,"","","",187.5167,3.2555,186.5021,9.2100,4381.4922,786.2954,1740.2444,-581.7385
80.47,"","","",187.5158,3.4363,186.5283,8.7336,4385.5098,866.6467,1740.2098,-581.7385
80.50,"","","",187.5203,3.4363,186.5171,8.4161,4382.1522,924.0405,1739.7943,-574.8131
